ID	Team	Engine	Country	Races Entered	Races Started	Drivers	Total Entries	Wins	Points	Poles	FL	Podiums
1	2	Ferrari	Switzerland	130	130	20	277	10	107	12	14	26
2	Ferrari	Ferrari	Italy	992	990	80	2112	238	8232.5	228	254	769
3	Haas	Ferrari	USA	82	82	3	164	0	197	0	2	0
4	McLarenn	Renault	UK	866	862	50	1801	182	5348.5	155	155	486
5	Mercedes	Mercedes	Germany	209	209	11	430	101	8888	110	74	210
6	Racing Point	BWT Mercedes	UK	20	20	2	40	0	67	0	0	0
7	Red Bull Racing	Honda	Austria	286	285	10	570	62	4698.5	62	65	168
8	Renault	Renault	France	385	382	25	752	35	1596	51	31	100
9	Scuderia Toro Rosso	Honda	Italy	267	267	14	534	1	497	1	1	3
10	Williams	Mercedes	UK	719	718	42	1357	114	3561	128	133	312
